Pop_id,Peak_time,Peak_height
0,611.4105395036933,8778
1,781.6697648668177,5949
2,740.788880671655,3523
3,854.531791930053,5980
4,875.7327761221738,3880
5,999.2580421928566,3876
6,749.8019690519932,2965
7,890.988438121671,3875
8,897.0489834097001,2394
9,711.9558582432059,2056
10,779.3847458095703,3268
11,710.2004155738618,2343
12,727.2033168145252,2706
13,920.1107282000029,1512
14,892.1661639114902,2977
15,752.4581628240282,2956
16,895.1493301877482,1197
17,907.959888195781,1804
18,736.9942924936796,3586
19,778.3632368759553,4176
20,762.0460384921487,4167
21,725.8248064697425,2375
22,795.9339229700223,1795
23,826.5266520943705,1215
24,1041.6406837279496,299
25,1072.7948313841807,1506
26,919.0044363877367,2394
27,900.5881799539266,902
28,740.892990343612,1503
29,854.3395844970319,1480
30,908.0160027458351,1513
31,943.011646228334,876
32,924.555007343686,1797
33,874.0945180912975,2677
34,944.6461014823341,2381
35,968.8164816391914,2377
36,884.1086061771907,3864
37,791.8976895310344,3857
38,758.1684682978321,1776
39,892.6403198943214,3272
40,820.1201684599779,895
41,899.6525850530359,1479
42,919.2592995705462,1193
43,936.7253086390843,1509
44,762.9026234186764,1486
45,736.7184839885167,1205
46,903.9904759123357,1515
47,917.6769123846422,1782
48,900.8446232271077,3577
49,880.8068534413006,1510
50,900.275554747059,1797
51,973.575812128258,1184
52,1097.4430781162437,599
53,924.7855824625665,901
54,849.4168973736532,296
55,899.5480366221348,1195
56,745.1526732530009,2062
57,895.8031309389723,596
58,1188.0409661947897,597
59,767.5092398314719,1460
60,1100.4298113259222,606
61,960.2551377854354,898
62,744.3744164744479,2082
63,751.1067879857114,293
64,1057.0939235999006,1494
65,874.6073092828594,1207
66,897.078010475786,2094
67,958.7143468812227,1190
68,770.3840805212573,1793
69,893.3375017799959,1798
70,744.1121802003971,1481
71,1145.8040908449618,609
72,780.737619019375,1489
73,979.1358778831062,607
74,979.5365322257388,305
75,800.7337890983817,1184
76,1005.9501317483681,1487
77,1007.2984660912338,897
78,926.8410306487436,586
79,986.8983827288287,911
80,930.506486517234,1199
81,1006.2621809138537,896
82,962.1077678016617,600
83,1102.7733661584464,900
84,926.939866239752,593
85,876.9198377298767,593
86,1041.6188842850943,600
87,935.4819543201564,1185
88,942.3677499649153,1199
89,904.8649710723035,1793
90,991.83263989678,301
91,803.403853189748,1187
92,747.749526682505,901
93,1035.2749666524212,597
94,898.8801616545677,1219
95,713.2937262095073,603
96,1003.0139628198975,592
97,760.5042423201613,1815
98,1021.2408473838997,890
