Pop_id,Peak_time,Peak_height
0,605.5715791961384,7096
1,786.7380321983734,6955
2,915.7344831838909,4184
3,837.5221612159946,6329
4,887.9766939082109,5479
5,782.6647005725133,4782
6,762.0893938760772,4503
7,735.7473781962271,3026
8,803.5492616436389,3911
9,899.7548261335468,2113
10,913.5611216031333,3007
11,922.2666831706077,3001
12,787.4373598415414,2691
13,744.0781602051293,2674
14,817.8613513815386,3315
15,988.2727336233188,2108
16,880.0219696638321,2408
17,859.3035219754194,2997
18,752.7949982732882,1208
19,852.8710737246737,2446
20,766.7347374900303,1507
21,864.7102730191197,2734
22,826.2326893656307,2129
23,1010.260324665153,1796
24,738.8893564002602,2986
25,913.0021473182389,1527
26,921.8970597459497,1515
27,1009.1088542164134,914
28,819.8315440084477,1821
29,1037.1350790440845,1507
30,905.5613327579116,1513
31,871.0423516126287,2123
32,891.6882067967914,2434
33,919.2345695997417,2402
34,1013.9619501258203,1197
35,800.3025457668732,2725
36,1149.4266517115232,600
37,814.1071620070405,2696
38,1062.3207773064564,1509
39,963.139126474251,2115
40,1001.5683739475712,1172
41,723.6064905720508,310
42,958.5474483022307,1495
43,769.8474259184236,3262
44,764.2766546610053,1481
45,769.854561038261,2387
46,1244.9315016435755,306
47,958.4953109733167,1810
48,969.4684745171355,1834
49,1005.4623542249718,900
50,751.4557196767133,592
51,771.4208278677888,890
52,866.5272135754524,1211
53,943.5506643299855,891
54,865.279750284404,1503
55,1219.7604211019122,308
56,933.1349339132288,1832
57,736.8609267543825,2109
58,1074.396357325881,914
59,972.2611333880269,599
60,711.9222102162443,1200
61,1053.3317559875434,303
62,952.9187436308126,891
63,952.1983568455989,1530
64,1015.4216952112944,2704
65,952.4439828889863,614
66,897.3745895626323,1526
67,940.4481711002426,2733
68,790.7494769916259,1516
69,982.7619006908538,2136
70,869.3294791334105,1196
71,781.8013953775275,1210
72,1093.604778198891,607
73,976.4896132526783,612
74,945.6215967674594,1179
75,737.6411161978333,609
76,911.0769375782696,621
77,805.8188943316619,1204
78,971.8329139877433,1798
79,895.811681335078,1198
80,929.8287993770292,1215
81,959.9917268886345,888
82,828.3365653388731,1506
83,1264.9164632948155,300
84,599.1293891672275,612
85,1076.7482609289382,597
86,928.2130103091672,2120
87,991.0521759805697,1799
88,1003.8049731844933,304
89,1178.2651770128691,303
90,1030.733139195009,307
91,924.5443203815174,611
92,965.1479865115487,898
93,868.3522276763479,1503
94,928.0355587178891,897
95,1176.0054235074822,309
96,1086.333217112531,917
97,1022.0564860315747,597
98,1273.6766319574754,309
99,777.8023966419917,2121
