Pop_id,Peak_time,Peak_height
0,569.6002638951271,1837
1,700.0837535130003,1829
2,860.0364346283421,1827
3,1036.1778998067912,1818
4,1208.9367395741647,1828
5,1373.8184235546694,1844
6,1539.545049034308,1801
7,1734.8075436661268,1836
8,1910.9571687922355,1823
9,2013.359024599824,1810
10,2233.7733900412095,1828
11,2376.9922433477914,1840
12,2543.2382409008487,1835
13,2722.03784017139,1819
14,2901.5488578277123,1820
15,3080.9616451994166,1796
16,3237.247825872648,1816
17,3405.621234608478,1792
18,3580.7280661134273,1816
19,3774.606899977056,1799
20,3934.1146959581606,1808
21,4082.21427008193,1829
22,4213.308435787911,1814
23,4377.732253115552,1803
24,4541.367172102591,1824
25,4724.763329072415,1842
26,4912.616383917583,1820
27,5004.819029569717,1827
28,5178.3995602299365,1812
29,5318.942174604174,1829
30,5507.151028608868,1815
31,5664.228183117809,1822
32,5782.352791661307,1822
33,5928.4620720975845,1796
34,6117.226001978331,1799
35,6297.089348232089,1825
36,6473.418248686852,1817
37,6673.345162481109,1816
38,6860.524008938567,1818
39,7045.82584733822,1823
40,7205.678351034724,1823
41,7351.935617794759,1821
42,7515.6186988832005,1811
43,7704.916225364166,1834
44,7856.30726896434,1819
45,8043.815171713249,1829
46,8197.106428253637,1797
47,8332.201376403069,1835
48,8419.65164722981,1819
49,8589.26921759461,1828
