Pop_id,Peak_time,Peak_height
0,601.5393355403737,1814
1,815.5665121710206,1814
2,1034.1420739043624,1813
3,1300.7501202977642,1824
4,1454.4219471004722,1815
5,1765.799437207933,1806
6,1961.210765882366,1799
7,2158.0613065361827,1811
8,2395.1504275398847,1780
9,2678.113986898086,1824
10,2872.8142551917163,1793
11,3125.5795756089,1819
12,3288.2627033163685,1805
13,3469.299861094135,1833
14,3645.978194672613,1800
15,3821.6459300626566,1846
16,3822.70594822421,1800
17,4087.870462509453,1820
18,4297.794626941486,1798
19,4538.363211981351,1827
20,4863.432462765668,1800
21,5053.0944577164455,1806
22,5294.035978768159,1812
23,5472.3023488300305,1805
24,5721.458054598536,1811
25,5916.736717460547,1795
26,6117.49991978819,1826
27,6360.085854966175,1814
28,6521.772054123065,1803
29,6742.714285825231,1826
30,6935.6035525757525,1825
31,7134.586231499772,1800
32,7336.9971634576705,1802
33,7581.315686623144,1818
34,7812.22720411055,1815
35,8013.651166381339,1801
36,8262.8100161112,1826
37,8484.009881425041,1821
38,8587.94169657415,1819
39,8714.50868795817,1821
40,8909.23182333307,1826
41,9212.046027108425,1829
42,9272.050421437052,1797
43,9539.883037950409,1838
44,9762.689575769638,1808
45,9955.24278224764,1807
46,10131.03291244232,1804
47,10341.356867116547,1798
48,10612.001287731013,1807
49,10831.303641619432,1817
