Pop_id,Peak_time,Peak_height
0,731.3709304017335,11673
1,779.862082079476,7074
2,825.6232935519299,5036
3,822.1346656497014,4738
4,790.4878440997234,4139
5,801.259443227652,5627
6,790.9349635316104,4763
7,800.3760630347773,5029
8,798.901318140713,4198
9,905.1684800417089,2666
10,763.1957328031921,2086
11,805.1929345083275,2653
12,802.5503707944634,2707
13,731.5150344548595,3254
14,795.5567207520884,2364
15,796.2392112759636,2063
16,820.0523977744268,3855
17,703.8423106156802,1762
18,780.4369444008848,1788
19,896.6805497020447,1804
20,835.7018901640805,1182
21,819.8782865431351,1788
22,771.8432277338283,2935
23,808.1316797999706,2699
24,769.2070396808841,1187
25,925.3310876362491,902
26,830.673670931733,1787
27,848.222719025468,905
28,813.7024904936978,1193
29,903.1314879375369,1194
30,847.3820434894861,1774
31,892.9206213595735,1787
32,808.0658577330597,1495
33,843.3084354511267,1509
34,840.2347759019455,1500
35,741.7112113125656,1176
36,856.4530074292062,1483
37,837.3436367646387,2051
38,909.0207682930551,1193
39,823.7349840440075,1770
40,899.6564164009441,1184
41,795.3574130556887,3272
42,817.9935188899374,1476
43,904.0644651537068,290
44,908.4315066900829,1180
45,797.7798192358574,3258
46,829.9658602900827,2368
47,923.2705446717672,585
48,624.5005617206477,609
49,842.7434950134246,1790
50,778.7809966095745,2076
51,852.8421759485137,1484
52,854.221836207394,1200
53,840.7047440281675,1493
54,906.1201125857558,1195
55,904.5393745226664,1787
56,914.3818453189347,591
57,753.1914275994053,2659
58,889.219234856786,1171
59,848.5931539960701,1189
60,950.7745457014818,896
61,919.9976509561059,1778
62,924.2331958290318,910
63,905.6474134632562,583
64,915.4726569976375,1199
65,990.3231231495187,876
66,885.3118506049284,1195
67,781.6363294041449,865
68,821.9525433938737,1173
69,955.7819886711771,894
70,897.4775667948892,877
71,939.4354429992941,881
72,790.7940271124696,584
73,892.418944615724,900
74,927.0398567909573,603
75,911.0580961887406,597
76,916.9837434270767,1194
77,987.5837199036039,879
78,841.2500976447941,592
79,839.9180000364142,597
80,871.69439252323,600
81,943.0694340002838,605
82,848.4827007411324,1775
83,978.3790657361025,291
84,916.2261132800992,603
85,817.7796916865466,896
86,916.233552710344,300
87,897.9641919632835,1503
88,875.8086681390317,1478
89,841.0309240370856,1768
90,797.4682099359221,1202
91,794.3905405637838,1480
92,722.2736993351858,1465
93,833.7586073813877,875
94,872.6992485615567,900
95,852.3934323860417,1748
96,1103.8709559599686,306
97,815.7443895466445,892
