Pop_id,Peak_time,Peak_height
0,642.1117869174027,11648
1,723.9306739876243,7118
2,718.2713799345433,5036
3,721.8448368317083,4734
4,708.4454443957412,4138
5,713.5472556692315,5655
6,712.4554690403149,4770
7,730.7117087455299,5007
8,682.2834234650875,4134
9,797.9590179070891,2643
10,722.2401138480244,2081
11,714.0591825246892,2626
12,749.2769529156132,2638
13,742.6315235842691,3228
14,721.7073136902675,2393
15,716.2490973546394,2051
16,729.3214001587231,3822
17,727.867818468192,1796
18,723.4453231168628,1790
19,896.0555489013993,1780
20,746.1077725278,1205
21,702.6969914820046,1762
22,729.9413979176899,2962
23,736.1901494572645,2674
24,739.9590690831255,1189
25,850.525045833227,883
26,785.5222601786958,1764
27,798.4437458942551,888
28,801.360114004134,1197
29,780.2547719019686,1193
30,803.1265611348756,1801
31,789.3084048909377,1785
32,701.3017481339913,1461
33,792.4442324513208,1476
34,704.1070322541605,1463
35,707.9625061572115,1180
36,729.0305189842221,1487
37,780.0556207285675,2073
38,795.3099593803055,1204
39,779.3512356199813,1780
40,813.4316654504122,1197
41,638.3634551009462,3205
42,716.1197088577435,1479
43,905.8725364425014,302
44,823.5707046539803,1187
45,687.1365375508534,3235
46,771.3055755036582,2385
47,969.7703165979026,585
48,672.6466810838087,600
49,742.9694749760273,1789
50,741.2947482442594,2090
51,789.6813387859966,1484
52,801.8609927224386,1196
53,785.4940374322872,1485
54,828.1381462017706,1186
55,865.042044666471,1794
56,838.1529531425633,600
57,751.5863174014493,2684
58,843.6030592046211,1208
59,785.4785571941659,1196
60,898.4796270737806,894
61,842.3315327979833,1790
62,872.5337605531238,889
63,757.9917039881539,602
64,875.2806781450523,1184
65,948.7669189084777,888
66,711.0814910159971,1181
67,735.1614391490251,879
68,695.1222765745081,1183
69,816.7670728695327,882
70,793.069327621249,897
71,760.8237054790279,887
72,764.0107037513889,587
73,818.3478579776768,900
74,857.7050878184817,590
75,867.1934571577358,592
76,800.6587269301914,1193
77,760.7531439821366,890
78,859.5131363871329,595
79,733.3874355990177,601
80,819.5993434308967,596
81,847.2278147465266,603
82,768.9020756189522,1787
83,917.0952772295645,293
84,846.6716398217237,590
85,745.5140070242376,912
86,813.7780552119399,301
87,817.1758021811378,1485
88,801.9282450567129,1483
89,701.9704094474686,1751
90,712.1709514561262,1211
91,733.9069211194203,1497
92,748.0429727302168,1477
93,746.4165481113469,886
94,843.5167775264557,902
95,798.7983055987537,1799
96,1051.203544227841,298
97,614.6011568930795,883
