Pop_id,Peak_time,Peak_height
0,752.183877363016,11694
1,794.8957455578596,7090
2,820.8305283488617,5063
3,786.5956367557632,4687
4,835.5770628343092,4150
5,789.7804296686267,5568
6,809.9291838826388,4742
7,802.7923530864754,5017
8,814.8734647632624,4135
9,720.233373004886,2629
10,783.6209873950012,2079
11,832.1908474850645,2653
12,756.113549548127,2637
13,735.2962868952037,3212
14,821.5592028571969,2367
15,803.2586050690063,2083
16,825.5564195199496,3848
17,791.465846299759,1798
18,834.7614040987714,1795
19,841.6745233411646,1785
20,867.1798458701737,1186
21,806.1403293028955,1783
22,812.742463062242,2952
23,814.4712194142342,2667
24,779.1302377255693,1171
25,914.3837391661907,892
26,898.6885839591922,1816
27,831.0792754589705,889
28,884.2301210218864,1197
29,851.5441113916698,1174
30,907.4991603667312,1775
31,885.921097168122,1779
32,763.3437291103936,1493
33,892.68111178067,1485
34,810.0960664912922,1473
35,809.3236477634065,1183
36,893.1966846728811,1484
37,844.5103995132577,2076
38,901.1402175957801,1194
39,904.177540285222,1780
40,915.2398729304114,1181
41,791.7044283869145,3261
42,812.8157587491094,1491
43,892.445766639426,303
44,824.805776848312,1198
45,828.1257039620574,3279
46,788.3111210612547,2373
47,960.3054409245179,604
48,897.7857631645818,594
49,878.7139503955527,1784
50,793.5293736580612,2056
51,827.4177758709219,1461
52,819.7145694632658,1181
53,859.9718646901543,1483
54,889.6372352346764,1206
55,935.0060532819779,1767
56,690.0402824217589,590
57,785.6322420195802,2650
58,850.2380546158262,1195
59,947.589071330291,1175
60,883.2275125532149,871
61,912.1160086716017,1765
62,978.7337332569382,902
63,875.5405032198257,586
64,939.2139493158761,1199
65,968.5637126070461,893
66,857.4326562187316,1203
67,830.4773055102775,905
68,664.1755551871813,1174
69,839.5513910084765,894
70,914.8731926185909,890
71,931.0637591132923,920
72,899.6282887348115,603
73,870.5587145171326,892
74,887.3140256840337,603
75,930.1413941081653,602
76,864.0457245075094,1215
77,955.0286020542163,900
78,854.7635983261249,603
79,893.0418789707583,602
80,960.1056915098246,590
81,970.1998210823715,603
82,865.6153725399105,1804
83,952.6740567332483,295
84,870.7238417571592,603
85,841.368587940935,911
86,819.846809333972,296
87,857.5202910643087,1514
88,909.0040485400199,1479
89,807.3374598351497,1766
90,764.2124080275238,1197
91,811.2414798623045,1497
92,861.4234359752259,1507
93,825.7501990687624,885
94,921.2782772034901,897
95,805.9919058689346,1770
96,1154.5883060604506,297
97,800.6928840905028,900
