Pop_id,Peak_time,Peak_height
0,61.95251489506826,3606
1,80.72059304627619,3624
2,104.87947771248894,3632
3,125.33391078584239,3634
4,151.3491729900497,3638
5,177.1412343365172,3612
6,202.3595493903806,3636
7,218.88540963415812,3643
8,243.53258317866985,3649
9,260.60180514201494,3631
10,281.98748929482025,3611
11,306.53047725128846,3654
12,329.7018899774933,3624
13,355.4032237641197,3630
14,380.27235924746634,3615
15,398.0411867709663,3634
16,419.3524659862506,3660
17,445.0195790310665,3647
18,465.97947912061284,3658
19,486.81029073734055,3614
20,504.3263943473963,3617
21,524.3734012933572,3630
22,545.3267397976988,3627
23,567.4872334294857,3619
24,588.2046331646351,3635
25,604.211485928639,3636
26,626.8878159339491,3630
27,646.006575614385,3633
28,666.0908700125871,3627
29,689.058443049405,3626
30,707.4179698532305,3616
31,722.9453738620138,3649
32,744.0258349854636,3656
33,767.342336631977,3610
34,791.4325433267022,3632
35,813.6722194444218,3618
36,834.654670158367,3643
37,856.8704596206645,3646
38,875.6992000395979,3647
39,897.2763382155997,3613
40,925.3314585551462,3622
41,942.0120860066642,3614
42,955.39363599574,3640
43,980.196669887775,3671
44,999.0427608848137,3610
45,1019.612612805493,3636
46,1042.6543089518661,3637
47,1060.520098494859,3620
48,1082.2544809328494,3609
49,1105.9402271094368,3632
50,1125.5434036086306,3631
51,1146.9240397548865,3611
52,1170.8286328546826,3625
53,1192.9306027670987,3614
54,1214.0029023938405,3612
55,1236.5186304908527,3628
56,1256.3015325563908,3680
57,1275.5893276506868,3638
58,1293.1604954485508,3617
59,1300.8667293773465,3616
60,1323.175693242675,3613
61,1347.9282566145207,3626
62,1366.2534299455915,3614
63,1382.587545200518,3624
64,1403.653411109032,3620
65,1423.624131757013,3616
66,1442.9769200741753,3613
67,1462.4777757425152,3626
68,1487.4169365023429,3627
69,1511.4034259223556,3618
70,1540.661918196751,3640
71,1561.0616446255829,3596
72,1579.225063109315,3604
73,1590.439508133118,3620
74,1613.7908681354343,3649
