Pop_id,Peak_time,Peak_height
0,54.889176800507784,3637
1,89.75508752092287,3666
2,131.21658644244508,3646
3,163.06677541246302,3642
4,207.87314369447245,3633
5,251.86978847975658,3608
6,291.9018353211537,3649
7,337.0225710023474,3637
8,368.5369625982256,3647
9,404.0088660836378,3625
10,434.7058637256121,3595
11,464.89632268987475,3619
12,504.5981857817784,3649
13,539.2366581673833,3634
14,585.1516076384856,3645
15,617.8539710761288,3641
16,649.7348963433465,3642
17,666.0009744662513,3607
18,708.8861570858028,3625
19,739.1819419755393,3636
20,770.1016421010906,3607
21,804.0447025022428,3615
22,832.6506865800948,3610
23,863.3096383617367,3606
24,898.8763568326389,3625
25,935.4201378641897,3619
26,961.2053046248042,3627
27,993.7506907644593,3615
28,1028.6078642225214,3638
29,1072.4609585360004,3648
30,1100.9336543143456,3618
31,1127.986715383944,3638
32,1153.7209448558328,3649
33,1191.6770170022817,3616
34,1224.8917027143739,3617
35,1266.0238112656511,3638
36,1308.8145196241492,3629
37,1349.4425176644497,3640
38,1383.4757363559247,3628
39,1425.4596085506444,3602
40,1462.3361172595942,3609
41,1498.94430238856,3636
42,1536.0065793638253,3613
43,1572.777448309483,3629
44,1612.6613945176143,3637
45,1642.5164283575455,3654
46,1684.2031923525292,3617
47,1707.6299823701786,3649
48,1746.3633872538958,3647
49,1776.7378175544222,3620
50,1821.8378405948383,3641
51,1866.7405171826292,3626
52,1894.4323785339873,3614
53,1943.3367910070149,3639
54,1988.341916157495,3644
55,2024.4412799587046,3606
56,2058.4897477838776,3629
57,2092.7033896051857,3618
58,2138.162543753423,3651
59,2179.978139454483,3641
60,2208.826494226211,3612
61,2243.025037755358,3626
62,2264.7454262150377,3591
63,2302.5971304579853,3647
64,2338.3029502491345,3643
65,2371.550145172923,3649
66,2410.7812840912147,3611
67,2446.089040160396,3663
68,2473.966912905268,3647
69,2505.929593185186,3616
70,2525.17337255841,3623
71,2565.8932670731533,3612
72,2603.5127541553015,3636
73,2637.9920015367884,3631
74,2669.186687347726,3650
