Pop_id,Peak_time,Peak_height
0,631.7055277259021,1819
1,880.7112365449755,1831
2,1087.2277351227704,1829
3,1263.8142495286631,1810
4,1477.369974351879,1827
5,1647.9749419361106,1833
6,1854.5258903543045,1824
7,2034.6644504747148,1810
8,2192.604579019131,1810
9,2396.7496173536806,1808
10,2545.5478722343623,1831
11,2788.2747603396924,1813
12,2914.674976361747,1835
13,3152.981908556353,1821
14,3389.9196643034547,1822
15,3603.3741671828943,1823
16,3805.7281604368013,1829
17,3962.4547370084265,1811
18,4198.910404014738,1817
19,4411.631512922827,1820
20,4571.596392778696,1818
21,4805.875085046074,1818
22,4980.415631070147,1834
23,5186.505456689592,1835
24,5352.884734073189,1811
25,5549.6737146338155,1837
26,5721.866614185112,1825
27,5868.470846695092,1846
28,5938.977393842042,1831
29,6134.469907395387,1802
30,6305.579487155119,1804
31,6533.783459974531,1835
32,6721.467724566229,1848
33,6906.8847854921905,1824
34,7170.199804046354,1797
35,7307.788044007627,1840
36,7493.551031342959,1817
37,7719.895542768568,1811
38,7931.469350761435,1825
39,8165.355684248078,1811
40,8380.177565727246,1820
41,8523.487075069805,1806
42,8694.462004431853,1796
43,8829.158995329084,1824
44,8993.718676765951,1831
45,9200.23851579863,1826
46,9351.85714511543,1829
47,9530.159387223506,1810
48,9744.850210214856,1811
49,9988.423170210268,1786
