Pop_id,Peak_time,Peak_height
0,481.38175442476904,1816
1,696.506616512895,1840
2,861.6311264396023,1830
3,1035.164919229457,1811
4,1169.2601103776342,1836
5,1307.7718683690373,1800
6,1429.229742950058,1847
7,1630.4240581085717,1842
8,1839.3737370621425,1814
9,1990.9412461884212,1790
10,2165.2599641556512,1831
11,2368.859987848683,1809
12,2575.872089452661,1839
13,2771.77215283255,1810
14,2942.6579572274004,1809
15,3119.5638229585984,1819
16,3328.1192317663135,1854
17,3501.166716176768,1824
18,3652.0719549888354,1817
19,3816.9621212327947,1822
20,3997.6532449647652,1817
21,4157.353382845449,1832
22,4366.837808190959,1821
23,4583.433932585158,1828
24,4784.610269800579,1825
25,4978.925696631359,1834
26,5154.648659831723,1814
27,5351.665259247059,1842
28,5544.770804751542,1812
29,5777.558791046749,1816
30,5993.638063214044,1828
31,6169.380122491432,1810
32,6377.0785799826335,1807
33,6540.695925096125,1842
34,6749.709232179586,1788
35,6966.385397738476,1834
36,7188.183396394074,1815
37,7343.166092101923,1831
38,7506.22565751291,1821
39,7737.836471138835,1790
40,7941.512748609904,1826
41,8138.106536960049,1834
42,8306.191260067664,1816
43,8385.886339239289,1830
44,8607.537713834392,1819
45,8759.337711977829,1836
46,8996.097723144529,1804
47,9172.028417181295,1840
48,9349.084246660528,1820
49,9465.222291055537,1816
