Pop_id,Peak_time,Peak_height
0,528.2486030990439,1811
1,720.5909271978337,1814
2,824.2212416126921,1827
3,1022.8146018942051,1801
4,1158.2248285351998,1812
5,1273.372147300848,1808
6,1443.4859181323882,1835
7,1613.6227661561002,1801
8,1807.9872130662343,1826
9,1944.6208829610273,1804
10,2007.3711542520061,1791
11,2138.8679479500993,1827
12,2356.091953886778,1828
13,2642.667121111213,1794
14,2859.769749089545,1834
15,3011.5417738537167,1822
16,3239.0456842265407,1816
17,3401.7573304065622,1820
18,3576.0816946001473,1828
19,3755.6544774749127,1829
20,4023.8814556000034,1824
21,4208.457204865776,1823
22,4404.850449095174,1810
23,4631.6736000222745,1804
24,4865.228650094288,1816
25,5102.770830001613,1811
26,5281.346465554206,1838
27,5486.602772297752,1781
28,5690.064413305802,1823
29,5877.434215153736,1829
30,6072.203685147252,1806
31,6279.267968460649,1804
32,6477.1698877076915,1834
33,6664.020629709241,1829
34,6786.556869954882,1827
35,6950.087639616949,1821
36,7076.630016285568,1824
37,7308.502936334494,1809
38,7400.545094261726,1814
39,7629.139751137468,1833
40,7782.897365065234,1820
41,7992.788426474957,1808
42,8218.13031791934,1832
43,8377.135540499155,1836
44,8616.14440401002,1818
45,8803.349017726567,1821
46,8957.072544468258,1826
47,9155.103557506394,1814
48,9317.644377404255,1816
49,9474.595399685635,1815
