Pop_id,Peak_time,Peak_height
0,796.9843795276786,7199
1,898.7960637621525,6920
2,986.724490031279,4235
3,933.6424466965505,6356
4,963.6388442005846,5420
5,888.9717540394837,4854
6,937.4950679949396,4501
7,906.6286486979322,3021
8,923.3390081849301,3903
9,1042.40070962435,2124
10,1006.5511527446437,3055
11,1068.872877635276,3027
12,824.5225895892163,2750
13,871.7276648802957,2728
14,876.3242895924354,3329
15,1027.5727679382712,2129
16,1027.61980154333,2434
17,1040.6521060726866,3056
18,874.7830889772601,1218
19,947.2994272732088,2411
20,836.0690697897156,1505
21,979.2270082628842,2729
22,982.1587992210872,2112
23,1049.6737501087664,1803
24,931.0808319300534,3027
25,1015.1953310696186,1517
26,964.5107724487493,1476
27,1012.5626946050195,893
28,874.4610277106602,1818
29,1148.7325866291258,1532
30,981.4967206637043,1514
31,1056.8017471585633,2104
32,1010.4716274052593,2409
33,1021.9468195128967,2450
34,1062.30610081217,1209
35,919.997750023308,2743
36,1207.8769327139792,610
37,1038.2722261015722,2719
38,1095.5768881509216,1536
39,1063.3288010693739,2156
40,1087.5747007175237,1233
41,1230.6562530307883,307
42,881.360111265487,1505
43,762.8439055980399,3281
44,948.9252497649463,1520
45,952.646458733026,2414
46,1022.1811503654554,315
47,1024.7997389806465,1835
48,992.9337747345942,1826
49,1085.8179383674008,910
50,822.3660731872692,607
51,985.8818374421343,905
52,985.566279032238,1201
53,973.573256756269,912
54,1002.8782766110872,1542
55,1356.3003151570388,304
56,860.3703502812041,1793
57,816.5478790532482,2075
58,1197.6804150802216,910
59,1173.4076838228993,605
60,948.2392304667438,1217
61,1254.2243942287832,304
62,980.2286660914747,896
63,1012.5118043877973,1527
64,1110.6400346003154,2749
65,1029.6764673220932,609
66,1072.994202788966,1496
67,962.8263799560691,2722
68,928.1897964387695,1508
69,1010.9412341246392,2111
70,1033.4754081106178,1229
71,890.3079964564106,1231
72,1069.100567357571,598
73,1071.8322728980422,608
74,1062.7065900031398,1209
75,1008.2971583232402,614
76,925.6688447279239,608
77,922.6052176033985,1197
78,1038.7034260838911,1827
79,1030.0187772612344,1211
80,913.4282163776804,1202
81,1054.1731585156217,926
82,1015.0669338506851,1513
83,1377.854895442747,309
84,915.8279191918417,617
85,1054.2446479523314,607
86,920.4845849098234,2130
87,1058.1681126542492,1809
88,1117.7884461645021,308
89,1219.0777268067131,312
90,1157.4320170308938,299
91,1052.2522952446102,605
92,1180.4317378542876,905
93,992.8824666892299,1516
94,1024.2940286976486,901
95,1027.0746926456536,307
96,1010.2916957635904,909
97,1276.1002538604098,606
98,1344.699608187853,300
99,931.6199397793158,2145
