Pop_id,Peak_time,Peak_height
0,474.89518278490357,1828
1,682.2339828269988,1833
2,899.5283629916108,1803
3,1179.5981821155208,1838
4,1493.7776701346195,1818
5,1721.008850327507,1813
6,1919.5122294220503,1817
7,2090.3637516935873,1815
8,2302.7150739572594,1830
9,2467.2302894751297,1802
10,2722.289930394841,1818
11,2909.5448115010795,1815
12,3144.9340330832083,1838
13,3386.895727318475,1821
14,3667.088891219412,1813
15,3852.214072534485,1840
16,3985.7625774111943,1827
17,4173.163280822191,1831
18,4424.307157305861,1813
19,4671.76634872005,1824
20,4840.078265462027,1806
21,4996.934834377184,1800
22,5172.726999955332,1815
23,5334.804205158082,1834
24,5509.842360512674,1817
25,5636.212240807122,1830
26,5817.3088197888455,1824
27,6032.027041707723,1837
28,6230.868385501867,1828
29,6445.750614090526,1823
30,6593.486594751716,1838
31,6787.883896546538,1825
32,6945.088638760023,1814
33,7166.589397297591,1844
34,7328.528237421341,1848
35,7570.607339643679,1804
36,7796.0976238702015,1813
37,7999.532320241918,1839
38,8181.327743789108,1814
39,8423.272631581674,1834
40,8634.875020786674,1831
41,8879.174658078095,1796
42,9017.637408749299,1805
43,9157.988510725867,1837
44,9404.115276597095,1833
45,9600.160293042716,1831
46,9796.871078267573,1798
47,9992.355682929363,1837
48,10156.126920384739,1822
49,10394.555049666465,1827
