Pop_id,Peak_time,Peak_height
0,95.59869480322344,1994
1,125.91653814846757,1996
2,150.41076825366744,1993
3,184.23361779590206,1993
4,204.63708210009068,1992
5,224.3480890534782,1989
6,257.34152706801495,1992
7,286.6750464592857,1996
8,312.4819470856313,1996
9,335.96883377960563,1995
10,355.7789052511571,1991
11,393.3493323562932,1993
12,422.4507881219801,1992
13,443.7714051076447,1997
14,475.57164536290355,1992
15,502.61509128020595,1992
16,529.9711274639396,1994
17,546.472068835887,1993
18,556.9898560634036,1987
19,586.1946335218182,1996
20,611.0208855084973,1994
21,636.0665023922253,1997
22,667.0663762589052,1997
23,689.1908426254232,1990
24,716.7154068557779,1997
25,738.3736088086655,1990
26,759.5911584559954,1993
27,795.8126325418641,1996
28,812.6409245135052,1995
29,837.5726739411581,1988
30,878.390667525031,1989
31,893.3940068322869,1992
32,917.2211466088363,1995
33,938.5486914366505,1990
34,964.0962711423787,1994
35,983.9922077997445,1989
36,1017.8124526307844,1994
37,1050.1676904597462,1990
38,1059.6610915778756,1988
39,1090.110607206935,1996
40,1102.8312536073574,1995
41,1133.8811842337072,1997
42,1147.8562181501172,1996
43,1188.2961411814847,1991
44,1213.8821953358897,1995
45,1241.689336456572,1992
46,1272.7884578151593,1991
47,1306.6889038868612,1997
48,1345.7735939898548,1993
49,1359.205285326958,1995
